Household_Size,Daily_Meal_Count,Meal_Type,Shopping_Habit,Storage_Availability,Awareness_of_Waste_Management,Leftovers_Frequency,Income_Range,Cooking_Preference,Cultural_Cuisine_Preference,Perishability_Awareness,Seasonal_Variation,Weekly_Food_Waste_kg
3,4,Mixed,Bulk Buying,Small,Low,Sometimes,Low,Fresh Daily,Chinese,Somewhat aware,Monsoon,3.51
3,2,Non-Vegetarian,Bulk Buying,Small,High,Often,High,Batch Cooking,North Indian,Somewhat aware,Winter,4.1
6,3,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Batch Cooking,Indian,Somewhat aware,All year,4.55
2,1,Non-Vegetarian,Daily,Medium,Medium,Often,Low,Fresh Daily,Street Food,Somewhat aware,Summer,3.78
2,1,Vegetarian,Bulk Buying,Small,Medium,Never,Low,Batch Cooking,South Indian,Not aware,Monsoon,2.87
3,3,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,North Indian,Aware,Winter,2.45
6,1,Non-Vegetarian,Weekly,Large,Medium,Sometimes,Medium,Reheated,North Indian,Not aware,All year,2.61
6,4,Mixed,Bulk Buying,Small,Low,Never,Medium,Fresh Daily,Chinese,Not aware,All year,4.82
1,4,Mixed,Bulk Buying,Medium,Low,Sometimes,High,Fresh Daily,Fusion,Not aware,Monsoon,3.79
2,3,Mixed,Weekly,Medium,Medium,Often,Low,Fresh Daily,North Indian,Not aware,Winter,3.4
5,3,Vegetarian,Bulk Buying,Large,Medium,Often,Low,Batch Cooking,Italian,Not aware,Summer,5.4
1,3,Mixed,Bulk Buying,Large,High,Sometimes,High,Batch Cooking,Chinese,Somewhat aware,Summer,1.38
6,1,Vegetarian,Daily,Small,Medium,Often,Medium,Batch Cooking,Italian,Not aware,All year,4.01
2,2,Non-Vegetarian,Bulk Buying,Small,Medium,Often,Medium,Reheated,Chinese,Aware,Summer,4.56
6,2,Mixed,Weekly,Large,High,Sometimes,High,Batch Cooking,Fusion,Not aware,Monsoon,2.41
2,4,Mixed,Weekly,Small,Low,Often,Low,Fresh Daily,North Indian,Not aware,All year,3.6
3,1,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Street Food,Not aware,Summer,2.6
4,2,Non-Vegetarian,Weekly,Large,Medium,Sometimes,High,Reheated,Chinese,Somewhat aware,All year,2.54
1,2,Mixed,Daily,Medium,Low,Sometimes,High,Fresh Daily,Fusion,Aware,All year,1.78
4,1,Mixed,Daily,Medium,High,Sometimes,Medium,Fresh Daily,Fusion,Somewhat aware,Monsoon,0.98
4,1,Non-Vegetarian,Daily,Small,Medium,Often,Low,Fresh Daily,Street Food,Not aware,All year,3.77
5,2,Mixed,Weekly,Large,Low,Sometimes,Medium,Reheated,Chinese,Not aware,Summer,2.36
6,1,Vegetarian,Weekly,Small,Medium,Often,Low,Fresh Daily,Fusion,Somewhat aware,All year,2.61
4,1,Non-Vegetarian,Weekly,Small,Medium,Often,Medium,Fresh Daily,Italian,Not aware,Monsoon,3.31
3,2,Mixed,Weekly,Small,Low,Sometimes,Low,Fresh Daily,Italian,Somewhat aware,Winter,1.29
3,1,Mixed,Bulk Buying,Medium,High,Sometimes,Medium,Batch Cooking,North Indian,Aware,Winter,1.54
3,3,Non-Vegetarian,Daily,Large,Medium,Sometimes,High,Reheated,Italian,Not aware,Summer,3.38
5,1,Mixed,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,North Indian,Not aware,All year,1.37
2,2,Vegetarian,Weekly,Small,Medium,Sometimes,Medium,Reheated,South Indian,Not aware,Winter,1.69
2,2,Mixed,Weekly,Large,High,Sometimes,Medium,Fresh Daily,North Indian,Somewhat aware,Winter,1.48
3,4,Vegetarian,Daily,Medium,Low,Sometimes,Low,Batch Cooking,North Indian,Not aware,Monsoon,3.03
1,3,Vegetarian,Bulk Buying,Medium,Low,Never,Medium,Fresh Daily,Fusion,Not aware,Winter,3.06
1,4,Mixed,Weekly,Small,High,Often,Medium,Batch Cooking,Italian,Not aware,Monsoon,2.57
1,2,Mixed,Daily,Medium,Medium,Often,Medium,Batch Cooking,Street Food,Not aware,Winter,4.45
5,2,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,Indian,Not aware,Winter,3.04
5,2,Vegetarian,Weekly,Medium,Medium,Often,Low,Batch Cooking,Chinese,Somewhat aware,Monsoon,3.44
5,4,Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,Fusion,Not aware,Monsoon,2.91
3,4,Non-Vegetarian,Bulk Buying,Small,Medium,Sometimes,Low,Fresh Daily,Street Food,Not aware,All year,5.05
5,4,Vegetarian,Weekly,Small,Low,Never,Medium,Fresh Daily,Italian,Somewhat aware,Summer,3.22
1,4,Vegetarian,Bulk Buying,Small,Low,Never,High,Batch Cooking,South Indian,Aware,Winter,3.23
6,3,Non-Vegetarian,Daily,Medium,Medium,Sometimes,High,Fresh Daily,Street Food,Aware,Summer,3.93
4,3,Non-Vegetarian,Bulk Buying,Small,High,Sometimes,Medium,Fresh Daily,North Indian,Somewhat aware,Winter,3.39
6,4,Vegetarian,Daily,Large,Low,Often,High,Fresh Daily,Chinese,Not aware,All year,4.44
1,2,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,South Indian,Somewhat aware,All year,1.23
3,2,Mixed,Weekly,Medium,Low,Sometimes,Low,Reheated,South Indian,Not aware,All year,1.77
5,4,Mixed,Daily,Medium,Medium,Often,High,Reheated,Street Food,Somewhat aware,All year,5.06
3,2,Non-Vegetarian,Weekly,Medium,Low,Never,Low,Reheated,Street Food,Somewhat aware,Winter,2.32
3,1,Mixed,Weekly,Small,Medium,Sometimes,Low,Batch Cooking,Street Food,Not aware,All year,2.44
1,3,Vegetarian,Bulk Buying,Medium,High,Sometimes,Medium,Batch Cooking,Indian,Aware,All year,1.94
3,2,Non-Vegetarian,Daily,Medium,Low,Sometimes,Low,Batch Cooking,Street Food,Somewhat aware,All year,2.54
2,4,Mixed,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Fusion,Aware,Monsoon,2.62
2,4,Vegetarian,Weekly,Small,Medium,Never,Medium,Batch Cooking,North Indian,Not aware,All year,3.21
5,2,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Reheated,Italian,Not aware,Winter,3.18
4,3,Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,Fusion,Somewhat aware,Monsoon,2.09
4,4,Non-Vegetarian,Daily,Small,Low,Often,Medium,Batch Cooking,Fusion,Not aware,Summer,5.08
3,3,Vegetarian,Weekly,Large,Medium,Sometimes,Medium,Reheated,Chinese,Somewhat aware,Summer,1.86
6,1,Mixed,Bulk Buying,Small,Medium,Often,Medium,Batch Cooking,Chinese,Somewhat aware,All year,4.43
1,3,Vegetarian,Daily,Medium,Medium,Sometimes,High,Fresh Daily,Indian,Not aware,Summer,1.82
3,3,Vegetarian,Weekly,Small,High,Often,Medium,Reheated,Fusion,Aware,Winter,1.91
1,3,Non-Vegetarian,Weekly,Small,Low,Never,Medium,Batch Cooking,Fusion,Not aware,Monsoon,2.77
3,1,Non-Vegetarian,Weekly,Large,High,Often,High,Reheated,North Indian,Not aware,Monsoon,2.4
6,2,Vegetarian,Weekly,Small,Low,Often,Low,Reheated,South Indian,Somewhat aware,Monsoon,3.73
3,4,Non-Vegetarian,Weekly,Small,High,Sometimes,Low,Batch Cooking,Italian,Somewhat aware,All year,2.65
6,1,Non-Vegetarian,Daily,Medium,Low,Sometimes,Low,Fresh Daily,Fusion,Not aware,Summer,2.9
3,2,Mixed,Weekly,Small,Medium,Often,Medium,Reheated,Chinese,Not aware,Winter,3.87
5,2,Vegetarian,Weekly,Large,Low,Often,Low,Fresh Daily,South Indian,Aware,All year,2.46
3,1,Vegetarian,Weekly,Medium,Medium,Often,Low,Fresh Daily,Fusion,Somewhat aware,Summer,2.32
2,1,Non-Vegetarian,Daily,Medium,Low,Never,High,Fresh Daily,Fusion,Aware,Monsoon,1.56
5,2,Vegetarian,Weekly,Medium,Low,Never,Low,Batch Cooking,Fusion,Aware,Winter,2.81
6,4,Mixed,Bulk Buying,Medium,Low,Often,Low,Fresh Daily,Indian,Aware,Winter,4.85
2,1,Mixed,Daily,Small,Low,Often,High,Fresh Daily,North Indian,Not aware,Summer,2.74
5,2,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,North Indian,Aware,All year,1.78
2,1,Vegetarian,Bulk Buying,Medium,High,Sometimes,Low,Fresh Daily,Street Food,Not aware,Monsoon,2.51
5,3,Vegetarian,Weekly,Medium,Medium,Never,Medium,Fresh Daily,South Indian,Not aware,All year,2.64
5,2,Mixed,Bulk Buying,Medium,Medium,Never,High,Batch Cooking,Chinese,Not aware,Summer,3.36
3,4,Non-Vegetarian,Weekly,Small,Medium,Never,Low,Fresh Daily,North Indian,Not aware,Monsoon,3.97
5,3,Mixed,Bulk Buying,Medium,High,Sometimes,Low,Batch Cooking,Italian,Not aware,Summer,3.12
2,4,Mixed,Weekly,Large,Medium,Sometimes,Medium,Fresh Daily,Chinese,Not aware,Monsoon,2.42
1,3,Vegetarian,Daily,Small,Medium,Never,Medium,Fresh Daily,North Indian,Not aware,Summer,2.33
1,2,Vegetarian,Bulk Buying,Small,High,Sometimes,Medium,Batch Cooking,North Indian,Somewhat aware,Winter,2.07
3,4,Non-Vegetarian,Daily,Small,Medium,Never,Low,Fresh Daily,North Indian,Not aware,Monsoon,3.68
6,2,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Medium,Batch Cooking,North Indian,Not aware,Summer,4.07
1,4,Non-Vegetarian,Weekly,Medium,Low,Often,Low,Fresh Daily,Fusion,Aware,All year,3.75
3,4,Mixed,Daily,Small,Medium,Never,High,Reheated,North Indian,Somewhat aware,Winter,3.5
5,3,Non-Vegetarian,Weekly,Small,Low,Sometimes,Low,Fresh Daily,Indian,Somewhat aware,All year,2.56
2,3,Mixed,Bulk Buying,Medium,High,Sometimes,Low,Reheated,North Indian,Not aware,Summer,2.24
5,2,Non-Vegetarian,Weekly,Medium,High,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,Summer,0.5
2,4,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Street Food,Not aware,All year,2.95
5,3,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,Italian,Not aware,All year,3.4
4,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Italian,Aware,Summer,2.87
4,2,Mixed,Daily,Medium,Medium,Never,High,Batch Cooking,Fusion,Aware,All year,3.34
2,4,Vegetarian,Bulk Buying,Medium,Low,Sometimes,Medium,Reheated,North Indian,Not aware,Summer,3.76
3,2,Non-Vegetarian,Bulk Buying,Small,Medium,Often,Low,Fresh Daily,South Indian,Somewhat aware,Summer,4.31
6,1,Non-Vegetarian,Bulk Buying,Medium,High,Often,High,Batch Cooking,Italian,Somewhat aware,Summer,2.85
1,1,Mixed,Daily,Medium,Low,Sometimes,Low,Batch Cooking,South Indian,Somewhat aware,Winter,1.38
5,3,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Batch Cooking,South Indian,Aware,All year,3.47
3,2,Non-Vegetarian,Weekly,Medium,High,Sometimes,Low,Batch Cooking,Fusion,Not aware,Summer,1.88
5,1,Vegetarian,Weekly,Small,Low,Never,Low,Reheated,Chinese,Somewhat aware,Summer,1.85
4,2,Vegetarian,Bulk Buying,Medium,Medium,Never,Low,Reheated,Italian,Somewhat aware,Summer,2.49
3,3,Mixed,Daily,Medium,Medium,Often,Low,Fresh Daily,Fusion,Somewhat aware,Monsoon,2.28
